"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.656959042E0,1.013326272E-1,-1.110683661E-2,1.574480161E-2
8.756688042E0,-1.224165084E-3,-3.229439259E-2,4.881250486E-2
8.856418042E0,-1.862664334E-2,5.729416851E-3,2.836084226E-3
8.956148042E0,-1.780110877E-3,1.581128500E-2,-5.665085278E-3
9.055877042E0,3.891038522E-2,1.311417087E-3,4.079657141E-3
9.155607042E0,4.886068404E-2,-3.936802503E-3,-7.533401367E-4
9.255336042E0,4.372728616E-2,-8.058325388E-3,-3.424114315E-3
9.355066042E0,9.978504851E-3,-8.433925919E-3,-1.108633121E-3
9.454796042E0,1.469282620E-2,-3.577890806E-3,1.552301925E-3
9.554525542E0,-1.358131785E-2,-4.767780658E-3,-9.643346071E-3
9.654255542E0,2.498579398E-2,-9.523441084E-3,-1.102267206E-2
9.753984542E0,1.751103438E-2,-1.068932470E-2,-2.411672613E-3
9.853714542E0,-2.583611943E-2,2.408263972E-4,-7.890453562E-3
9.953444542E0,1.143744960E-2,-6.851258688E-3,-8.071134798E-3
1.005317354E1,3.892024979E-2,1.231581159E-2,-2.523889206E-2
1.015290354E1,5.762566626E-2,-1.867957297E-3,-1.869305735E-3
1.025263354E1,1.801741123E-2,7.721358445E-3,-8.714731783E-3
1.035236354E1,2.790298127E-2,1.631147228E-3,2.599981846E-3
1.045209254E1,1.796647534E-2,3.469469259E-3,-8.153275703E-4
1.055182183E1,-2.146259323E-2,-4.425164312E-3,5.664859433E-3
1.065155183E1,-3.619014099E-2,4.432242829E-3,-7.095144130E-3
1.075128083E1,-1.628401130E-2,7.993718609E-4,-7.486826740E-3
1.085101083E1,-1.095891651E-2,5.265771411E-3,-9.907359257E-3
1.095074083E1,2.744891867E-2,-9.616476484E-3,1.508364640E-2
1.105047083E1,4.694529995E-2,1.610905677E-2,-2.810811810E-2
1.115020083E1,3.633625805E-2,1.410087571E-3,1.188262249E-4
1.124992983E1,3.194829915E-3,-1.297607203E-3,-1.399246859E-3
1.134965983E1,-2.155657485E-2,-5.917986389E-3,2.057732781E-3
1.144938983E1,2.436752431E-3,-2.507561119E-3,-8.222488686E-3
1.154911958E1,3.719380125E-2,3.193843877E-3,-1.594260149E-2
1.164884958E1,2.146103792E-2,1.702661393E-3,-6.688873749E-3
1.174857958E1,1.710105687E-2,1.084827073E-2,-2.868412994E-2
1.184830858E1,2.106651850E-2,-3.618879709E-3,-4.000692628E-3
1.194803858E1,1.904040016E-2,-1.462845039E-2,1.405121107E-2
1.204776858E1,-5.482112058E-3,-1.372395921E-2,1.099012885E-2
1.214749858E1,2.409283817E-2,-2.082960308E-2,3.486663103E-2
