"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.559934167E0,-8.181846237E-2,-8.345613956E-2,2.628615797E-1
7.659663167E0,4.614085837E-2,2.294272006E-2,6.967939782E-1
7.759393167E0,-2.480748484E-1,-1.997379631E-1,3.395916671E-1
7.859122167E0,7.825230950E-2,3.037306935E-1,8.574035436E-1
7.958852167E0,8.169675806E-2,4.572505099E-1,9.671189439E-1
8.058581167E0,-1.982688867E-1,7.434149981E-2,6.923120874E-1
8.158311167E0,4.079661564E-1,4.403117108E-1,8.788809514E-1
8.258040167E0,-5.114072385E-1,-1.356899017E-1,5.341934359E-1
8.357770167E0,1.110616121E0,-7.534254313E-2,7.036428219E-1
8.457500167E0,1.701499409E0,5.427087361E-1,2.309733213E0
8.557229042E0,4.075724195E-1,-2.321279125E0,-1.323346524E0
8.656959042E0,-2.915912598E0,1.925084072E0,2.520841672E0
8.756688042E0,-1.540168005E0,7.885601807E-1,5.420480007E-1
8.856418042E0,1.528570345E-1,4.715750188E-1,1.006611038E0
8.956148042E0,-5.033327819E-1,-1.405705726E-1,1.227926981E-1
9.055877042E0,4.660535113E-2,-2.596947277E-1,-4.546297878E-1
9.155607042E0,-6.457650349E-2,-8.557400107E-2,-1.256087172E-1
9.255336042E0,3.219621657E-1,3.844684625E-1,1.072800350E-1
9.355066042E0,9.856461391E-2,6.421084785E-1,1.702194643E-1
9.454796042E0,9.917629662E-2,7.265720934E-1,2.748624051E-1
9.554525542E0,-7.493968824E-2,2.715967351E-1,-3.036225200E-2
9.654255542E0,3.527562163E-2,3.255086482E-2,2.438581288E-1
9.753984542E0,3.110465835E-1,-9.557215512E-2,-4.321992838E-1
9.853714542E0,-5.145357912E-3,-7.243238389E-2,-3.640710354E-2
9.953444542E0,4.735830623E-1,2.078129679E-1,3.044458079E-1
1.005317354E1,5.033372769E-1,1.463300800E-1,1.966687596E-1
1.015290354E1,1.079676237E0,7.213821048E-1,1.243701015E0
1.025263354E1,6.814744194E-1,7.720827270E-1,6.078870642E-1
